Date,Group,Home Team,Away Team,Home Score,Away Score,Status
2026-06-11,A,Mexico,South Africa,2,0,Finished
2026-06-11,A,South Korea,Czechia,2,1,Finished
2026-06-12,B,Canada,Bosnia and Herzegovina,1,1,Finished
2026-06-12,D,United States,Paraguay,4,1,Finished
2026-06-13,B,Qater,Switzerland,0,0,Upcoming
2026-06-13,C,Brazil,Morocco,0,0,Upcoming
2026-06-13,C,Haiti,Scotland,0,0,Upcoming
2026-06-13,D,Australia,Turkey,0,0,Upcoming
2026-06-14,E,Germany,Curacao,0,0,Upcoming
2026-06-14,F,Netherlands,Japan,0,0,Upcoming
2026-06-14,E,Ivory Coast,Ecuador,0,0,Upcoming
2026-06-14,F,Sweden,Tunisia,0,0,Upcoming
2026-06-15,H,Spain,Cape Verde,0,0,Upcoming
2026-06-15,G,Belgium,Egypt,0,0,Upcoming
2026-06-15,H,Saudi Arabia,Uruguay,0,0,Upcoming
2026-06-15,G,Iran,New Zealand,0,0,Upcoming
2026-06-16,I,France,Senegal,0,0,Upcoming
2026-06-16,I,Iraq,Norway,0,0,Upcoming
2026-06-16,J,Argentina,Algeria,0,0,Upcoming
2026-06-16,J,Austria,Jordan,0,0,Upcoming
2026-06-17,K,Portugal,Congo,0,0,Upcoming
2026-06-17,L,England,Croatia,0,0,Upcoming
2026-06-17,L,Ghana,Panama,0,0,Upcoming
2026-06-17,K,Uzbekistan,Colombia,0,0,Upcoming
